doi,title,year,journal,systemType,anodeMaterials,cathodeMaterials,powerOutput,efficiency,qualityScore,parameterCompleteness,aiConfidence,reproducibilityScore,citationCount
10.1002/ente.202200073,Stacked Microfluidic Paper Ethanol Fuel Cell with a Variety of Rapidly Prototyped Electrodes: Optimization and Performance Investigation,2022,Energy Technology,BES,,,,,,0.5,0.7,,8
10.1002/ente.202201366,Performance of Continuous Hydrogen Production from Perhydro Benzyltoluene by Catalytic Distillation and Heat Integration Concepts with a Fuel Cell,2023,Energy Technology,MES,,,,,,0.25,0.7,,28
10.1002/ente.202300639,Performance Analysis of Triple‐Cation Mixed‐Halide Bifacial Perovskite Solar Cell with 17% Rear and 25% Front Efficiency,2023,Energy Technology,MFC,,,,25.28,,0.25,0.6,,5
10.1002/ente.202301346,Next‐Generation Proton‐Exchange Membranes in Microbial Fuel Cells: Overcoming Nafion's Limitations,2024,Energy Technology,MFC,,,,,,0.25,1,,47
10.1002/ente.202401558,Methanogen Biocathode Microbial Fuel Cell System That Simultaneously Achieves Cattle‐Barn Wastewater Treatment and Carbon Dioxide Utilization,2024,Energy Technology,MFC,and an oak‐derived carbon electrode as the cathode effectively treat wastewater and convert co<jats:sub>2</jats:sub> to methane,microbial fuel cell system that simultaneously achieves cattle‐barn wastewater treatment and carbon dioxide utilization,,7.3,,0.875,0.7,,2
10.1002/ente.202402438,Enhanced Electroactivity for Overall Water Splitting and Oxygen Potential of Pt/Carbon Nanotubes Functionalized with Cu Organometallic Complex,2025,Energy Technology,MES,,,,,,0.125,0.9,,0
10.1002/eom2.12273,<scp>3D</scp> hierarchical porous carbon foams as high‐performance free‐standing anodes for microbial fuel cells,2022,EcoMat,MFC,s for microbial fuel cells,,,,,0.375,0.7,,38
10.1002/ep.11603,Influence of electrode material and electrode distance on bioelectricity production from sago‐processing wastewater using microbial fuel cell,2013,Environmental Progress &amp; Sustainable Energy,MFC,,,,,,0.5,1,,60
10.1002/ep.11745,Bioelectricity generation through microbial fuel cell using organic matters recovered from municipal wastewater,2013,Environmental Progress &amp; Sustainable Energy,MFC,,,,,,0.25,0.6,,12
10.1002/ep.11809,<i>In situ</i> system buffering capacity dynamics on bioelectrogenic activity during the remediation of wastewater in microbial fuel cell,2013,Environmental Progress &amp; Sustainable Energy,MFC,,,,,,0.25,0.65,,25
10.1002/ep.11941,Simultaneous generation of electricity and removal of organic load from synthetic wastewater in a membrane less microbial fuel cell: Parametric evaluation,2014,Environmental Progress &amp; Sustainable Energy,MFC,,,,,,0.25,0.7,,14
10.1002/ep.12202,Scaleup suitability of sulfonated polyether ether ketone membrane‐based microbial fuel cell,2015,Environmental Progress &amp; Sustainable Energy,MFC,,,,58,,0.625,0.6,,4
10.1002/ep.12207,Comprehensive evaluation of two different inoculums in <scp>MFC</scp> with a new tin‐coated copper mesh anode electrode for producing electricity from a cottonseed oil industry effluent,2015,Environmental Progress &amp; Sustainable Energy,MFC,"[""titanium""]","[""platinum"",""copper"",""Cu"",""iron"",""Fe"",""Ni""]",,,,0.5,0.7,,15
10.1002/ep.12397,Decolorization and degradation of monoazo and diazo dyes in <i>Pseudomonas</i> catalyzed microbial fuel cell,2016,Environmental Progress &amp; Sustainable Energy,MFC,Graphite,,,94,,0.75,0.7,,24
10.1002/ep.12403,Wastewater treatment in pilot‐scale microbial fuel cell using multielectrode assembly with ceramic separator suitable for field applications,2016,Environmental Progress &amp; Sustainable Energy,MFC,,,,,,0.375,0.7,,71
10.1002/ep.12468,Cathode modification to enhance the performance of <i>in‐situ</i> fenton oxidation in microbial fuel cells,2016,Environmental Progress &amp; Sustainable Energy,MFC,,modification to enhance the performance of <i>in‐situ</i> fenton oxidation in microbial fuel cells,,,,0.375,0.7,,19
10.1002/ep.12734,Enhancement of bioelectricity generation from treatment of distillery wastewater using microbial fuel cell,2017,Environmental Progress &amp; Sustainable Energy,MFC,,chamber was maintained at ph 7,,,,0.375,0.7,,34
10.1002/ep.12919,Recovery of energy and simultaneous treatment of dewatered sludge using membrane‐less microbial fuel cell,2018,Environmental Progress &amp; Sustainable Energy,MFC,,in a membrane‐less mfc (ml‐mfc) was operated in batch mode with dewatered sludge from a municipal wastewater treatment plant as the substrate,,,,0.5,0.7,,39
10.1002/ep.13205,Desalination and power generation of caspian sea by applying new designed microbial desalination cells in batch operation mode,2019,Environmental Progress & Sustainable Energy,,,,,,,,0.6,,21
10.1002/ep.13298,"Review of the principal mechanisms, prospects, and challenges of bioelectrochemical systems",2020,Environmental Progress &amp; Sustainable Energy,MFC,,,,,,0.25,1,,81
10.1002/ep.13407,Electricity generation potential of sewage sludge in sediment microbial fuel cell using Ti–TiO<sub>2</sub> electrode,2020,Environmental Progress &amp; Sustainable Energy,MFC,media via an attractive electrode material,,,,,0.375,0.7,,38
10.1002/ep.13409,Electricity production and bacterial communities of microbial fuel cell supplied with oily sludge,2020,Environmental Progress &amp; Sustainable Energy,MFC,displayed an “s” shape,,,,,0.375,0.7,,18
10.1002/ep.13427,Modification of clayware ceramic membrane for enhancing the performance of microbial fuel cell,2020,Environmental Progress &amp; Sustainable Energy,MFC,,,,,,0.375,0.7,,39
10.1002/ep.13469,Microbial fuel cell‐enhanced electrokinetic process for remediation of chromium from marine sediments,2020,Environmental Progress &amp; Sustainable Energy,MFC,electrode,chamber,,,,0.625,0.7,,7
10.1002/ep.13504,Performance evaluation of microbial fuel cell with sewage wastewater and <scp>RO</scp> concentrate using composite anode made of <scp><i>Luffa aegyptiaca</i></scp>,2020,Environmental Progress &amp; Sustainable Energy,MFC,made of <scp><i>luffa aegyptiaca</i></scp>,,,,,0.5,0.7,,25
10.1002/ep.13638,Improved decolorization of dye wastewater and enhanced power output in the electrically stacked microbial fuel cells with <scp>H<sub>2</sub>O<sub>2</sub></scp> modified corncob anodes,2021,Environmental Progress &amp; Sustainable Energy,MFC,,,,,,0.375,0.7,,21
10.1002/ep.13667,The influence of organic pollutant load and external resistance on the performance of a solid phase microbial fuel cell fed orange peel wastes,2021,Environmental Progress &amp; Sustainable Energy,MFC,,,,,,0.375,0.65,,7
10.1002/ep.13959,Performance of a fuel cell‐based proton battery with varied designs of micro‐flow channel for enhanced hydrogen storage,2022,Environmental Progress &amp; Sustainable Energy,MES,,,,,,0.375,0.6,,3
10.1002/ep.14075,Influence of environmental factors on electricity generation performance of electricity‐producing bacteria from oily sludge microbial fuel cells,2023,Environmental Progress &amp; Sustainable Energy,MFC,biofilm of microbial fuel cells containing oily sludge,,,,,0.375,0.7,,3
10.1002/ep.14081,Effect of organic loading on bioelectricity generation potential of dual‐chambered microbial fuel cell treating chocolaterie wastewater,2023,Environmental Progress &amp; Sustainable Energy,MFC,Nafion,Nafion,,8,,0.75,0.7,,4
10.1002/ep.14119,Effects of pre‐treated sludge on sludge stabilization and electricity generation in microbial fuel cell,2023,Environmental Progress &amp; Sustainable Energy,MFC,,,,3.3,,0.25,0.65,,2
10.1002/ep.14189,Energy transition through bioelectricity in Pakistan: Implications for limiting global mean temperature below 1.5°C,2023,Environmental Progress &amp; Sustainable Energy,MES,,,,,,0.25,0.85,,12
10.1002/ep.14191,A review on microbial fuel cell technology for Brewery industry wastewater treatment – From fundamentals to pilot scale studies,2023,Environmental Progress &amp; Sustainable Energy,MFC,,"[""Cu"",""iron"",""Fe"",""Ni""]",,,,0.375,0.75,,15
10.1002/ep.14237,Investigation of heavy metal removal from salty wastewater and voltage production using <i>Shewanella oneidensis</i><scp>MR</scp>‐1 nanowires in a dual‐chamber microbial fuel cell,2023,Environmental Progress &amp; Sustainable Energy,MFC,synthetic wastewater was prepared with cu (ii),chamber,,,,0.5,0.7,,16
10.1002/ep.14448,Electrocoating of polyaniline on graphite carbon and activated carbon cloth surfaces as an anode and its effect on performance of microbial fuel cell,2024,Environmental Progress &amp; Sustainable Energy,MFC,,,,,,0.375,0.6,,7
10.1002/ep.14483,Cleaner and sustainable circular economy approaches for bio‐based product recovery from industrial effluents in a biorefinery,2024,Environmental Progress & Sustainable Energy,,,,,,,,0.6,,15
10.1002/ep.70001,Efficiency and mechanism of photoelectrocatalytic system powered by constructed wetland‐microbial fuel cell for the treatment of refractory wastewater,2025,Environmental Progress &amp; Sustainable Energy,MFC,,,,,,0.25,0.65,,1
10.1002/ep.70216,"Enhancing microbial fuel cell performance for sustainable distillery wastewater remediation and bioenergy recovery through cost‐effective alkaline (
 KOH
 ) treatment of graphite electrodes",2025,Environmental Progress &amp; Sustainable Energy,MFC,,,,87.9,,0.75,0.75,,0
10.1002/er.3270,Energy harvest with mangrove benthic microbial fuel cells,2014,International Journal of Energy Research,MFC,,,,,,0.125,0.55,,17
10.1002/er.3273,"Modeling, optimization, and control of microbial electrolysis cells in a fed‐batch reactor for production of renewable biohydrogen gas",2015,International Journal of Energy Research,MEC,,,,,,0.25,1,,36
10.1002/er.3284,Effect of surface modification of anode with surfactant on the performance of microbial fuel cell,2015,International Journal of Energy Research,MFC,,"[""Fe""]",,,,0.125,0.7,,61
10.1002/er.3780,"Microbial fuel cell is emerging as a versatile technology: a review on its possible applications, challenges and strategies to improve the performances",2018,International Journal of Energy Research,MFC,,,,,,0.375,0.7,,240
10.1002/er.3804,Enhanced bioremediation of toxic metals and harvesting electricity through sediment microbial fuel cell,2017,International Journal of Energy Research,MFC,,,,,,,0.6,,71
10.1002/er.4034,"A novel anode modified by 1,5-dihydroxyanthraquinone/multiwalled carbon nanotubes composite in marine sediment microbial fuel cell and its electrochemical performance",2018,International Journal of Energy Research,MFC,,,,,,,0.6,,13
10.1002/er.4168,Sludge selection on the performance of sediment microbial fuel cells,2018,International Journal of Energy Research,MFC,,,,,,,0.6,,20
10.1002/er.4172,Bioelectricity generation from sewage and wastewater treatment using two-chambered microbial fuel cell,2018,International Journal of Energy Research,MFC,,,,,,,0.6,,44
10.1002/er.4199,Effect of different ecosystems on generated power in sediment microbial fuel cell,2018,International Journal of Energy Research,MFC,,,,,,,0.6,,22
10.1002/er.4273,Enhancement of biohydrogen production from sustainable orange peel wastes using<i>Enterobacter</i>species isolated from domestic wastewater,2018,International Journal of Energy Research,,,,,,,,0.6,,35
10.1002/er.4351,Electrodeposition of graphene by cyclic voltammetry on nickel electrodes for microbial fuel cells applications,2019,International Journal of Energy Research,MFC,"[""graphene"",""nickel""]",,,,,0.25,0.55,,30
10.1002/er.4370,Energy harvesting from sediment microbial fuel cell to supply uninterruptible regulated power for small devices,2019,International Journal of Energy Research,MFC,,,,85.46,,0.5,0.95,,32
10.1002/er.4757,Effects of unit distance and number on sediment microbial fuel cell stacks for practical power supply,2019,International Journal of Energy Research,MFC,,,,,,,0.6,,17
10.1002/er.4949,Naturally occurring neem gum: An unprecedented green resource for bioelectrochemical flexible energy storage device,2019,International Journal of Energy Research,BES,,,,,,0.125,1,,13
10.1002/er.5391,Polarization and power density trends of a soil‐based microbial fuel cell treated with human urine,2020,International Journal of Energy Research,MFC,,,,,,,0.6,,73
10.1002/er.5466,Feasibility of Ni/Ti and Ni/ <scp>GF</scp> cathodes in microbial electrolysis cells for hydrogen production from fermentation effluent: A step toward real application,2020,International Journal of Energy Research,MEC,,,,,,,0.6,,12
10.1002/er.5484,Performance improvement of microbial fuel cell through artificial intelligence,2020,International Journal of Energy Research,MFC,,,,,,0.25,1,,42
10.1002/er.5531,"Microalgae‐microbial fuel cell (<scp>mMFC</scp>): an integrated process for electricity generation, wastewater treatment,<scp>CO<sub>2</sub></scp>sequestration and biomass production",2020,International Journal of Energy Research,MFC,,,,,,,0.6,,48
10.1002/er.5645,Enhanced biohydrogen production from sugar industry effluent using nickel oxide and cobalt oxide as cathode nanocatalysts in microbial electrolysis cell,2021,International Journal of Energy Research,MEC,,,,,,0.5,1,,26
10.1002/er.5734,Bioelectricity generation and analysis of anode biofilm metabolites from septic tank wastewater in microbial fuel cells,2020,International Journal of Energy Research,MFC,,,,,,,0.6,,43
10.1002/er.5774,Treatment of seafood industrial wastewater coupled with electricity production using air cathode microbial fuel cell under saline condition,2020,International Journal of Energy Research,MFC,,,15,,,0.875,1,0.380645161290323,33
10.1002/er.5894,Enhanced power generation from algal biomass using multi‐anode membrane‐less sediment microbial fuel cell,2020,International Journal of Energy Research,MFC,,,,,,,0.6,,41
10.1002/er.6001,Flexible supercapacitors based on mesoporous nanocrystalline cobalt ammonium phosphates and bacterial cellulose composite electrode,2020,International Journal of Energy Research,MES,,,,9,,0.375,1,,22
10.1002/er.6154,A selection strategy for enhancing exoelectrogenic consortium towards improved power generation in microbial fuel cells,2020,International Journal of Energy Research,MFC,,,,,,0.125,0.65,,6
10.1002/er.6163,Bioremediation analysis of <scp>sediment‐</scp>microbial fuel cells for energy recovery from microbial activity in soil,2020,International Journal of Energy Research,MFC,,for enhanced system performance,,,,0.625,0.7,,30
10.1002/er.6257,Feasibility study on a mini autonomous biosensor based on microbial fuel cell for monitoring hexavalent chromium in wastewater,2020,International Journal of Energy Research,MFC,were conducted in the mab for detecting hexavalent chromium in the anode chamber,,,,,0.375,0.7,,6
10.1002/er.6277,Electrochemical recovery of metal copper in microbial fuel cell using graphene oxide/polypyrrole cathode catalyst,2020,International Journal of Energy Research,MFC,"[""graphene"",""graphene oxide"",""polypyrrole""]",catalyst,,,,0.25,0.7,,18
10.1002/er.6403,Microbial fuel <scp>cells—A</scp> preferred technology to prevail energy crisis,2021,International Journal of Energy Research,MFC,,,,,,,0.6,,41
10.1002/er.6550,Lactate and acetate applied in dual‐chamber microbial fuel cells with domestic wastewater,2021,International Journal of Energy Research,MFC,,,,,,0.5,1,,9
10.1002/er.6669,Enhanced hydrogen production by mevastatin in microbial electrolysis cells,2021,International Journal of Energy Research,,,,,,,,0.6,,4
10.1002/er.6741,Bio‐fuel cell for medical device energy system: A review,2021,International Journal of Energy Research,MES,,,,,,0.375,1,,38
10.1002/er.7050,Hydrogen production in a semi‐single‐chamber microbial electrolysis cell based on anode encapsulated in a dialysis bag,2021,International Journal of Energy Research,MEC,,,,,,,0.6,,14
10.1002/er.7091,Evaluating the use of unassimilated bio‐anode with different exposed surface areas for bioenergy production using solar‐powered microbial electrolysis cell,2021,International Journal of Energy Research,MEC,,,,,,0.5,1,,18
10.1002/er.7383,Boost performance of porous electrode for microfluidic fuel cells: electrochemical modification or structure optimization?,2021,International Journal of Energy Research,MFC,,,,,,,0.6,,6
10.1002/er.7568,Effect of nanowire conductive transfer on the performance of batch‐microbial fuel cells,2021,International Journal of Energy Research,MFC,,,,,,,0.6,,2
10.1002/er.7705,Surface activated natural wood biomass electrode for efficient microbial electrocatalysis: Performance and mechanism,2022,International Journal of Energy Research,MES,,,52,,,0.5,1,0.296774193548387,19
10.1002/er.7748,An insight on Biocathode Microbial Desalination Cell: Current challenges and prospects,2022,International Journal of Energy Research,MFC,,,,,,,0.6,,23
10.1002/er.8152,Performance improvement of co‐culture inoculated microbial fuel cell using fuzzy modelling and Harris hawks optimization,2022,International Journal of Energy Research,MFC,,,,0.37,,0.5,0.7,,16
10.1002/er.8364,Microbially catalyzed enhanced bioelectrochemical performance using covalent organic framework‐modified anode in a microbial fuel cell,2022,International Journal of Energy Research,MFC,in a microbial fuel cell,,,,,0.375,0.7,,8
10.1002/er.8424,Geometric effect of honeycomb on the performance of the recirculation microbial fuel cells,2022,International Journal of Energy Research,MFC,,,,,,0.25,0.65,,1
10.1002/er.8448,Fe metal‐organic framework/pyrolyzed bacterial cellulose composite as a high‐performance anode for lithium‐ion batteries,2022,International Journal of Energy Research,MES,,,,,,0.25,1,,7
10.1002/er.8494,An overview of microbial electrolysis cell configuration: Challenges and prospects on biohydrogen production,2022,International Journal of Energy Research,MEC,,,,,,0.125,0.9,,37
10.1002/er.8538,Metaheuristics‐optimized deep learning to predict generation of sustainable energy from rooftop plant microbial fuel cells,2022,International Journal of Energy Research,MFC,,,,,,0.125,1,,16
10.1002/er.8544,Studies on computational fluid dynamics and flow characteristics of auto‐dripping bioelectrochemical reactor (AutoDriBER): A rational basis for e‐urinal design,2022,International Journal of Energy Research,,,,,,,,0.6,,2
10.1002/er.8589,Boosting the power density of two‐chamber microbial fuel cell: Modeling and optimization,2022,International Journal of Energy Research,MFC,,,,,,0.125,0.9,,5
10.1002/er.8668,Power production using a batch double‐chamber microbial fuel cell from brewery wastewater: Effects of electron acceptors,2022,International Journal of Energy Research,MFC,,,,,,,0.6,,8
10.1002/ese3.1202,Feasibility evaluation of an off‐grid solar‐biomass system for remote area electrification considering various economic factors,2022,Energy Science &amp; Engineering,MES,,,,,,0.125,1,,31
10.1002/ese3.1499,Artificial intelligence model of fuel blendings as a step toward the zero emissions optimization of a 660 MWe supercritical power plant performance,2023,Energy Science &amp; Engineering,BES,,,,,,0.125,0.65,,11
10.1002/ese3.414,Effect of different irradiance levels on bioelectricity generation from algal biophotovoltaic (BPV) devices,2019,Energy Science & Engineering,,,,,,,,0.6,,30
10.1002/ese3.461,Performance enhancement by optimizing the reformer for an internal reforming methanol fuel cell,2019,Energy Science &amp; Engineering,MFC,,,,,,0.375,0.7,,17
10.1002/ese3.503,"Pyrolysis coupled anaerobic digestion process for food waste and recalcitrant residues: Fundamentals, challenges, and considerations",2019,Energy Science & Engineering,,,,,,,,0.6,,49
10.1002/ese3.988,Improvement of microbial fuel cell performance using novel kaolin earthenware membrane coated with a polybenzimidazole layer,2021,Energy Science &amp; Engineering,MFC,,,,,,0.5,1,,20
10.1002/est2.110,Thermodynamic analysis of an underground sensible energy storage system,2020,Energy Storage,MES,,,,,,0.125,1,,2
10.1002/est2.145,Development of a new ammonia‐based energy storage option for grid balancing,2020,Energy Storage,MES,,,,,,0.25,1,,17
10.1002/est2.303,The perspective of enhanced geothermal energy integration with concentrated solar power and thermal energy storage,2022,Energy Storage,MES,,,,50,,0.25,1,,34
10.1002/est2.305,Impacts of <scp>COVID</scp>‐19 pandemic on electrical energy storage technologies,2022,Energy Storage,MES,,,,1,,0.25,0.95,,6
10.1002/est2.315,Various methodologies to improve the energy efficiency of a compressed air energy storage system,2022,Energy Storage,MES,,,,,,0.125,1,,11
10.1002/est2.383,Battery energy storage in electric vehicles by 2030,2023,Energy Storage,MES,,,,,,0.125,1,,10
10.1002/est2.459,Improving dynamic stability of wind integrated system by incorporating magnetic energy storage,2023,Energy Storage,MES,,,,,,0.125,0.95,,1
10.1002/est2.49,Review of energy storage and transportation of energy,2019,Energy Storage,MES,,,,,,0.125,1,,231
10.1002/est2.524,Hydrogen storage materials for vehicular applications,2024,Energy Storage,MES,,,,,,0.125,0.95,,5
10.1002/est2.70197,Decarbonizing Transportation With Flywheel Energy Storage Systems: Current Trends and Future Prospects in Sustainable Mobility,2025,Energy Storage,MES,,,,,,0.25,0.95,,5
10.1002/est2.96,Principles of solar energy storage,2020,Energy Storage,MES,,,,,,0.125,1,,29
10.1002/exp.20210029,Emerging polymeric electrospun fibers: From structural diversity to application in flexible bioelectronics and tissue engineering,2022,Exploration,,,,,,,,0.6,,175
10.1002/ffej.3330060309,Biological remediation of mixed waste by microbial mats,1995,Federal Facilities Environmental Journal,MES,,,,,,0.5,1,,10
10.1002/fuce.200330107,Effect of Carbon Dioxide and Ammonia on Polymer Electrolyte Membrane Fuel Cell Stack Performance,2003,Fuel Cells,MFC,fuel gas,,,,,0.25,0.7,,63
10.1002/fuce.200400012,The Characteristics of a PEM Fuel Cell Engine with 40 kW Vehicle Stacks,2004,Fuel Cells,BES,,,,,,0.25,0.7,,8
10.1002/fuce.200400039,FLOX<sup>®</sup> Steam Reforming for PEM Fuel Cell Systems,2004,Fuel Cells,MFC,‐off gas energy in the reformer burner,,,,,0.25,0.7,,11
10.1002/fuce.200600027,Optimisation of Manufacturing Parameters for an Ni–Ag Fuel Cell Electrode,2007,Fuel Cells,MEC,,,,7,,0.375,0.7,,3
10.1002/fuce.200700006,A Novel Glass Membrane for Low Temperature H<sub>2</sub>/O<sub>2</sub>Fuel Cell Electrolytes,2007,Fuel Cells,BES,,,,,,0.25,0.7,,13
10.1002/fuce.200700053,Review: Durability and Degradation Issues of PEM Fuel Cell Components,2008,Fuel Cells,MEC,,,,,,0.375,0.7,,964
10.1002/fuce.200700067,Experimental Studies on the Influence of Operational Parameters on the Cold Start of a 2 kW Fuel Cell,2008,Fuel Cells,MEC,,,,,,0.375,0.7,,13
10.1002/fuce.200800039,Kinetics of Anode Reactions for a Yeast‐Catalysed Microbial Fuel Cell,2009,Fuel Cells,MFC,reactions for a yeast‐catalysed microbial fuel cell,"[""Pt"",""Cu"",""Fe"",""Ni""]",,,,0.125,0.7,,66
10.1002/fuce.200800101,"Design, Fabrication and Preliminary Study of a Mini Power Source with a Planar Six‐cell PEM Unitised Regenerative Fuel Cell Stack",2009,Fuel Cells,MEC,,at room temperature and standard atmospheric pressure,,,,0.375,0.7,,13
10.1002/fuce.200800154,Preparation and Properties of Cross‐linked Sulphonated Poly(sulphide sulphone) Membranes for Fuel Cell Applications,2009,Fuel Cells,MEC,,,,,,0.375,0.7,,22
10.1002/fuce.200800182,Effects of Ozone on the Performance of a Polymer Electrolyte Membrane Fuel Cell,2009,Fuel Cells,MFC,,alternately with far longer operation periods at 0,,,,0.375,0.7,,32
10.1002/fuce.200900003,Technical Analysis of an Eco‐Friendly Hybrid Plant With a Microgas Turbine and an MCFC System,2010,Fuel Cells,MES,,,,,,0.125,1,,19
10.1002/fuce.200900023,Power Generation and Electrochemical Analysis of Biocathode Microbial Fuel Cell Using Graphite Fibre Brush as Cathode Material,2009,Fuel Cells,MFC,and cathode was also observed,Graphite,,,,0.375,0.7,,92
10.1002/fuce.200900174,Stack Modelling of a Molten Carbonate Fuel Cell (MCFC),2010,Fuel Cells,BES,,,,,,0.25,0.65,,11
10.1002/fuce.201000032,Pseudocapacitance Effects for Enhancement of Capacitor Performance,2010,Fuel Cells,BES,,,,,,0.375,0.7,,34
10.1002/fuce.201000053,Anode Current Collecting Efficiency of Tubular Anode‐supported Solid Oxide Fuel Cells,2011,Fuel Cells,MES,,,,,,0.25,0.9,,21
10.1002/fuce.201000089,Shortened Carbon Nanotubes as Enhanced Support for High‐performance Platinum Catalysts,2010,Fuel Cells,BES,,,,,,0.5,0.7,,10
10.1002/fuce.201000092,Hydrogen Mass Transport in Fuel Cell Gas Diffusion Electrodes,2011,Fuel Cells,MEC,,,,,,0.25,0.65,,15
10.1002/fuce.201100086,Uncertainties of Yeast‐Based Biofuel Cell Operational Characteristics,2011,Fuel Cells,MFC,,,,3,,0.25,0.65,,22
10.1002/fuce.201100173,Evaluation of the Performance of Platinum Nanoparticle–Titanium Oxide Nanotubes as a New Refreshable Electrode for Formic Acid Electro‐oxidation,2012,Fuel Cells,BES,,,,,,0.25,0.65,,20
10.1002/fuce.201200110,Carbon Oxidation With Electrically Insulated Carbon Fuel in A Coin Type Direct Carbon Fuel Cell,2012,Fuel Cells,MFC,,,,,,0.125,0.6,,4
10.1002/fuce.201200196,Robust Optimal Operation of Two‐Chamber Microbial Fuel Cell System Under Uncertainty: A Stochastic Simulation Based Multi‐Objective Genetic Algorithm Approach,2013,Fuel Cells,MFC,"[""GO""]","[""Pt"",""Fe"",""Ni""]",,,,0.125,0.75,,11
10.1002/fuce.201200225,Enhanced Performance of Micro‐Electro‐Mechanical‐Systems (MEMS) Microbial Fuel Cells Using Electrospun Microfibrous Anode and Optimizing Operation,2013,Fuel Cells,MFC,and optimizing operation,</jats:p>,,3,,0.5,0.7,,35
10.1002/fuce.201300060,Investigation of Carbon Supported Nanostructured PtAu Alloy as Electrocatalyst for Direct Borohydride Fuel Cell,2015,Fuel Cells,BES,,,,,,0.25,0.6,,12
10.1002/fuce.201300092,Performance Analysis of PEM Fuel Cells with Different Electrical Loads,2014,Fuel Cells,MFC,,,,,,0.25,0.7,,3
10.1002/fuce.201300124,Two‐Stage Oxidation of Glucose by an Enzymatic Bioanode,2013,Fuel Cells,MES,,,,,,0.25,0.9,,9
10.1002/fuce.201300143,The Effect of Plasma Spraying Power on La<sub>0.58</sub>Sr<sub>0.4</sub>Co<sub>0.2</sub>Fe<sub>0.8</sub>O<sub>3–δ</sub>–La<sub>0.8</sub>Sr<sub>0.2</sub>Ga<sub>0.8</sub>Mg<sub>0.2</sub>O<sub>3–δ </sub>Composite Cathode Interlayer Microstructure and Cell Performance,2013,Fuel Cells,BES,,interlayer microstructure and cell performance,,,,0.25,0.7,,7
10.1002/fuce.201300288,Effects of Potential on Corrosion Behavior of Uncoated SS316L Bipolar Plate in Simulated PEM Fuel Cell Cathode Environment,2014,Fuel Cells,MEC,,,,,,0.375,0.6,,10
10.1002/fuce.201400035,Forecast of Performance Parameters of Automotive Fuel Cell Systems – Delphi Study Results,2014,Fuel Cells,MFC,,,,,,0.25,0.6,,33
10.1002/fuce.201400036,Evaluation of Low‐Cost Separators for Increased Power Generation in Single Chamber Microbial Fuel Cells with Membrane Electrode Assembly,2014,Fuel Cells,MFC,,,,,,0.25,0.7,,44
10.1002/fuce.201400037,Miniature Direct Electron Transfer Based Enzymatic Fuel Cell Operating in Human Sweat and Saliva,2014,Fuel Cells,EFC,,,,,,0.375,0.6,,43
10.1002/fuce.201400041,Microbial Power‐Generating Capabilities on Micro‐/Nano‐Structured Anodes in Micro‐Sized Microbial Fuel Cells,2014,Fuel Cells,MFC,"[""carbon paper"",""GO"",""carbon nanotube"",""CNT""]","[""Pt"",""carbon"",""Cu"",""Fe"",""Ni""]",,,,0.375,0.7,,44
10.1002/fuce.201400062,Membrane Electrode Assembly with Ultra Low Platinum Loading for Cathode Electrode of PEM Fuel Cell by Using Sputter Deposition,2015,Fuel Cells,MFC,,,,,,0.5,0.6,,66
10.1002/fuce.201400098,A Novel Membraneless Direct Hydrazine/Air Fuel Cell,2014,Fuel Cells,BES,,,,,,0.375,0.6,,30
10.1002/fuce.201400150,Advantages of a Polyimide Membrane Support in Nonhumidified Fluorohydrogenate‐Polymer Composite Membrane Fuel Cells,2015,Fuel Cells,MES,,,,,,0.125,1,,9
10.1002/fuce.201400155,In suit Investigation of Anode Support on Cell Performance Reduced under Various Temperatures for Planar Solid Oxide Fuel Cells,2015,Fuel Cells,MFC,,,,,,0.25,0.6,,5
10.1002/fuce.201400159,Influence of Pyridine‐Polybenzimidazole Film Thickness of Carbon Nanotube Supported Platinum on Fuel Cell Applications,2015,Fuel Cells,BES,,,,,,0.25,0.6,,5
10.1002/fuce.201400168,Matrix Material Study for <i>in situ</i> Grown Pt Nanowire Electrocatalyst Layer in Proton Exchange Membrane Fuel Cells (PEMFCs),2015,Fuel Cells,MES,,,,,,0.375,1,,14
10.1002/fuce.201400185,Damage of Siloxanes on Ni‐YSZ Anode Supported SOFC Operated on Hydrogen and Bio‐Syngas,2015,Fuel Cells,MES,,,,,,0.25,0.9,,44
10.1002/fuce.201500051,Synergistic Effects of Carbon Fillers of Phenolic Resin Based Composite Bipolar Plates on the Performance of PEM Fuel Cell,2016,Fuel Cells,MEC,,,,,,0.375,0.6,,50
10.1002/fuce.201500071,Waterproof Breathable Membrane Used as Gas Diffusion Layer in Activated Carbon Air Cathode Microbial Fuel Cells,2016,Fuel Cells,MFC,,microbial fuel cells,,,,0.375,0.7,,15
10.1002/fuce.201500103,Modified Carbon Anode by MWCNTs/PANI Used in Marine Sediment Microbial Fuel Cell and its Electrochemical Performance,2016,Fuel Cells,MEC,,,,,,0.5,0.6,,51
10.1002/fuce.201500109,A Data‐Driven Gaussian Process Regression Model for Two‐Chamber Microbial Fuel Cells,2016,Fuel Cells,MFC,,,,,,0.25,0.65,,17
10.1002/fuce.201500120,High Performance Activated Carbon/Carbon Cloth Cathodes for Microbial Fuel Cells,2015,Fuel Cells,MFC,,s for microbial fuel cells,,,,0.25,0.7,,38
10.1002/fuce.201600031,A Novel Molten Oxide Fuel Cell Concept,2016,Fuel Cells,MEC,,gas,,,,0.125,0.7,,23
